Client / Brokerage,,,,,,,,
Sub-account name,,,,,,,,
Location ID,,,,,,,,
Installer,,,,,,,,
Go-live target,,,,,,,,
Support opp link,,,,,,,,
Status,,,,,,,,
,,,,,,,,
Section,Step,Task,Done,Notes,Owner,Date done,Blocker
0. Install Snapshot,0.1,Create new sub-account (or use empty target),FALSE,,,,
0. Install Snapshot,0.2,"Load REOS Snapshot (fields, tags, pipelines, workflows, calendars, forms/sites, smart lists, Conversation AI, templates)",FALSE,,,,
0. Install Snapshot,0.3,Resolve conflicts Skip or Overwrite (prefer Skip on existing primary bot),FALSE,,,,
0. Install Snapshot,0.4,Confirm import finished with no failed assets,FALSE,,,,
0. Install Snapshot,0.5,Record Location ID in header above,FALSE,,,,
1. Business profile & branding,1.1,"Business name, timezone, address, logo",FALSE,,,,
1. Business profile & branding,1.2,Favicon / brand assets for this client,FALSE,,,,
1. Business profile & branding,1.3,Optional: white-label domain for this location,FALSE,,,,
2. Users & permissions,2.1,Invite owner + agents,FALSE,,,,
2. Users & permissions,2.2,Assign Roles (lock Workflows / AI Agents / Settings for agents if standard),FALSE,,,,
2. Users & permissions,2.3,Set Internal Notification recipients,FALSE,,,,
3. Phone SMS email,3.1,Attach LC phone number,FALSE,,,,
3. Phone SMS email,3.2,Complete A2P / 10DLC for this brand,FALSE,,,,
3. Phone SMS email,3.3,Verify sending email domain,FALSE,,,,
3. Phone SMS email,3.4,Test outbound SMS + email,FALSE,,,,
4. Verify Snapshot - Fields & tags,4.1,"Custom fields present (Intent, profiles, Preferred Channel/Language, AI fields)",FALSE,,,,
4. Verify Snapshot - Fields & tags,4.2,"Core tags present (temp_hot/warm/cold, ready_to_book, appt_booked, ai_qualifying, researcher_done or research_done, needs_contact_info, ai_handoff, coordinated, coord_email_only, channel_sms/email, lang_en, opted_out, compliance_hold, scout_priority, timeline tags)",FALSE,,,,
4. Verify Snapshot - Pipeline & calendar,4.3,Pipeline REOS Leads with stages New through Closed Lost,FALSE,,,,
4. Verify Snapshot - Pipeline & calendar,4.4,Calendar REOS Consult exists (structure only),FALSE,,,,
4. Verify Snapshot - Bots,4.5,"Bots imported: REOS Lead Concierge, REOS Scheduler, REOS Follow-Up",FALSE,,,,
4. Verify Snapshot - Bots,4.6,Prompts/actions look intact,FALSE,,,,
4. Verify Snapshot - Bots,4.7,Concierge Appointment Booking Off; Scheduler Booking On,FALSE,,,,
4. Verify Snapshot - Workflows,4.8,"Workflows present: Intake, Researcher, Coordinator, Compliance Guard",FALSE,,,,
4. Verify Snapshot - Workflows,4.9,"Workflows present: Appointment Booked, Hot, Warm, Cold, Handoff",FALSE,,,,
4. Verify Snapshot - Workflows,4.10,Start Scheduler / Start Follow-Up present if in snapshot,FALSE,,,,
4. Verify Snapshot - Workflows,4.11,Scout Daily Priority present,FALSE,,,,
4. Verify Snapshot - Workflows,4.12,Channel openers / tag bridges / Field Sync present if in snapshot,FALSE,,,,
4. Verify Snapshot - Smart lists,4.13,"Smart lists: Ready to Book, Needs Contact Info, Human Handoff, Nurture, Email Only (+ Scout if included)",FALSE,,,,
5. Remap - Calendar,5.1,Connect Google/Outlook or set manual availability,FALSE,,,,
5. Remap - Calendar,5.2,Confirm open slots this week,FALSE,,,,
